livestock_category_type;livestock_production_type;ipcc_region;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1 month;Poultry manure;Deep bedding;Composting;Aerobic treatment;Other
Other cattle;Low-Productivity;North America;0;1;43;14;42;0;0;0;0;0;0;0;0;0;
Other cattle;Low-Productivity;Latin America and the Caribbean;0;0;3;5;92;0;0;0;0;0;0;0;0;0;
Other cattle;Low-Productivity;Western Europe;0;22;26;0;48;4;0;0;0;0;0;0;0;0;
Other cattle;Low-Productivity;Eastern Europe;0;64;5;0;31;0;0;0;0;0;0;0;0;0;
Other cattle;Low-Productivity;Russian Federation;0;64;5;0;31;0;0;0;0;0;0;0;0;0;
Other cattle;Low-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Other cattle;Low-Productivity;NENA/Middle East;0;0;5;46;42;0;0;7;0;0;0;0;0;0;
Other cattle;Low-Productivity;South Asia;0;0;1;49;30;0;0;20;0;0;0;0;0;0;
Other cattle;Default;Sub-Saharan Africa;0;0;15;30;50;0;0;5;0;0;0;0;0;0;
Other cattle;Default;East Asia and South-East Asia;0;0;29;28;36;0;0;7;0;0;0;0;0;0;
Other cattle;Default;North America;0;1;43;14;42;0;0;0;0;0;0;0;0;0;
Other cattle;Default;Latin America and the Caribbean;0;0;3;5;92;0;0;0;0;0;0;0;0;0;
Other cattle;Default;Western Europe;0;22;26;0;48;4;0;0;0;0;0;0;0;0;
Other cattle;Default;Eastern Europe;0;64;5;0;31;0;0;0;0;0;0;0;0;0;
Other cattle;Default;Russian Federation;0;64;5;0;31;0;0;0;0;0;0;0;0;0;
Other cattle;Default;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Other cattle;Default;NENA/Middle East;0;0;5;46;42;0;0;7;0;0;0;0;0;0;
Other cattle;Default;South Asia;0;0;1;49;30;0;0;20;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;Sub-Saharan Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;East Asia and South-East Asia;0;0;10;58;29;0;0;3;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;North America;0;43;40;0;17;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;Latin America and the Caribbean;0;0;2;48;50;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;Western Europe;0;34;63;0;3;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;Eastern Europe;0;18;68;0;13;1;0;0;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;Russian Federation;0;18;68;0;13;1;0;0;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;NENA/Middle East;0;0;18;35;46;0;0;1;0;0;0;0;0;0;
Dairy Buffalo;High-Productivity;South Asia;0;0;1;41;38;0;0;20;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;Sub-Saharan Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;East Asia and South-East Asia;0;0;10;58;29;0;0;3;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;North America;0;43;40;0;17;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;Latin America and the Caribbean;0;0;2;48;50;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;Western Europe;0;34;63;0;3;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;Eastern Europe;0;18;68;0;13;1;0;0;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;Russian Federation;0;18;68;0;13;1;0;0;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;NENA/Middle East;0;0;18;35;46;0;0;1;0;0;0;0;0;0;
Dairy Buffalo;Low-Productivity;South Asia;0;0;1;41;38;0;0;20;0;0;0;0;0;0;
Dairy Buffalo;Default;Sub-Saharan Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Default;East Asia and South-East Asia;0;0;10;58;29;0;0;3;0;0;0;0;0;0;
Dairy Buffalo;Default;North America;0;43;40;0;17;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Default;Latin America and the Caribbean;0;0;2;48;50;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Default;Western Europe;0;34;63;0;3;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Default;Eastern Europe;0;18;68;0;13;1;0;0;0;0;0;0;0;0;
Dairy Buffalo;Default;Russian Federation;0;18;68;0;13;1;0;0;0;0;0;0;0;0;
Dairy Buffalo;Default;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Buffalo;Default;NENA/Middle East;0;0;18;35;46;0;0;1;0;0;0;0;0;0;
Dairy Buffalo;Default;South Asia;0;0;1;41;38;0;0;20;0;0;0;0;0;0;
Other Buffalo;High-Productivity;Sub-Saharan Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;High-Productivity;East Asia and South-East Asia;0;0;6;64;28;0;0;2;0;0;0;0;0;0;
Other Buffalo;High-Productivity;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;High-Productivity;Latin America and the Caribbean;0;0;2;5;93;0;0;0;0;0;0;0;0;0;
Other Buffalo;High-Productivity;Western Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;High-Productivity;Eastern Europe;0;9;64;0;27;0;0;0;0;0;0;0;0;0;
Other Buffalo;High-Productivity;Russian Federation;0;9;64;0;27;0;0;0;0;0;0;0;0;0;
Other Buffalo;High-Productivity;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;High-Productivity;NENA/Middle East;0;0;16;12;57;0;0;15;0;0;0;0;0;0;
Other Buffalo;High-Productivity;South Asia;0;0;1;40;39;0;0;20;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;Sub-Saharan Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;East Asia and South-East Asia;0;0;6;64;28;0;0;2;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;Latin America and the Caribbean;0;0;2;5;93;0;0;0;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;Western Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;Eastern Europe;0;9;64;0;27;0;0;0;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;Russian Federation;0;9;64;0;27;0;0;0;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;NENA/Middle East;0;0;16;12;57;0;0;15;0;0;0;0;0;0;
Other Buffalo;Low-Productivity;South Asia;0;0;1;40;39;0;0;20;0;0;0;0;0;0;
Other Buffalo;Default;Sub-Saharan Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;Default;East Asia and South-East Asia;0;0;6;64;28;0;0;2;0;0;0;0;0;0;
Other Buffalo;Default;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;Default;Latin America and the Caribbean;0;0;2;5;93;0;0;0;0;0;0;0;0;0;
Other Buffalo;Default;Western Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;Default;Eastern Europe;0;9;64;0;27;0;0;0;0;0;0;0;0;0;
Other Buffalo;Default;Russian Federation;0;9;64;0;27;0;0;0;0;0;0;0;0;0;
Other Buffalo;Default;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Other Buffalo;Default;NENA/Middle East;0;0;16;12;57;0;0;15;0;0;0;0;0;0;
Other Buffalo;Default;South Asia;0;0;1;40;39;0;0;20;0;0;0;0;0;0;
Breeding Swine;High-Productivity;Sub-Saharan Africa;0;7;6;86;0;0;0;0;1;0;0;0;0;0;
Breeding Swine;High-Productivity;East Asia and South-East Asia;35;21;0;2;0;0;7;0;35;0;0;0;0;0;
Breeding Swine;High-Productivity;North America;28;31;4;3;0;0;0;0;0;34;0;0;0;0;
Breeding Swine;High-Productivity;Latin America and the Caribbean;11;34;12;41;0;2;0;0;0;0;0;0;0;0;
Breeding Swine;High-Productivity;Western Europe;6;51;15;0;0;1;0;0;2;25;0;0;0;0;
Breeding Swine;High-Productivity;Eastern Europe;5;31;55;1;0;0;0;0;4;4;0;0;0;0;
Breeding Swine;High-Productivity;Russian Federation;0;24;76;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;High-Productivity;Oceania;91;0;1;8;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;High-Productivity;NENA/Middle East;10;29;0;54;0;0;7;0;0;0;0;0;0;0;
Breeding Swine;High-Productivity;South Asia;12;23;14;32;0;8;8;0;3;0;0;0;0;0;
Breeding Swine;Low-Productivity;Sub-Saharan Africa;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Breeding Swine;Low-Productivity;East Asia and South-East Asia;4;28;22;13;6;6;4;0;13;4;0;0;0;0;
Breeding Swine;Low-Productivity;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Low-Productivity;Latin America and the Caribbean;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Breeding Swine;Low-Productivity;Western Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Low-Productivity;Eastern Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Low-Productivity;Russian Federation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Low-Productivity;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Low-Productivity;NENA/Middle East;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Breeding Swine;Low-Productivity;South Asia;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Breeding Swine;Default;Sub-Saharan Africa;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Breeding Swine;Default;East Asia and South-East Asia;4;28;22;13;6;6;4;0;13;4;0;0;0;0;
Breeding Swine;Default;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Default;Latin America and the Caribbean;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Breeding Swine;Default;Western Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Default;Eastern Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Default;Russian Federation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Default;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Breeding Swine;Default;NENA/Middle East;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Breeding Swine;Default;South Asia;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Growing Swine;High-Productivity;Sub-Saharan Africa;0;7;6;86;0;0;0;0;1;0;0;0;0;0;
Growing Swine;High-Productivity;East Asia and South-East Asia;35;21;0;2;0;0;7;0;35;0;0;0;0;0;
Growing Swine;High-Productivity;North America;28;31;4;3;0;0;0;0;0;34;0;0;0;0;
Growing Swine;High-Productivity;Latin America and the Caribbean;11;34;12;41;0;2;0;0;0;0;0;0;0;0;
Growing Swine;High-Productivity;Western Europe;6;51;14;0;0;1;0;0;2;26;0;0;0;0;
Growing Swine;High-Productivity;Eastern Europe;5;31;55;1;0;0;0;0;4;4;0;0;0;0;
Growing Swine;High-Productivity;Russian Federation;0;24;76;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;High-Productivity;Oceania;91;0;1;8;0;0;0;0;0;0;0;0;0;0;
Growing Swine;High-Productivity;NENA/Middle East;10;29;0;54;0;0;7;0;0;0;0;0;0;0;
Growing Swine;High-Productivity;South Asia;12;23;13;35;0;7;8;2;2;0;0;0;0;0;
Growing Swine;Low-Productivity;Sub-Saharan Africa;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Growing Swine;Low-Productivity;East Asia and South-East Asia;5;27;18;14;6;6;5;0;14;5;0;0;0;0;
Growing Swine;Low-Productivity;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Low-Productivity;Latin America and the Caribbean;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Growing Swine;Low-Productivity;Western Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Low-Productivity;Eastern Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Low-Productivity;Russian Federation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Low-Productivity;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Low-Productivity;NENA/Middle East;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Growing Swine;Low-Productivity;South Asia;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Growing Swine;Default;Sub-Saharan Africa;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Growing Swine;Default;East Asia and South-East Asia;5;27;18;14;6;6;5;0;14;5;0;0;0;0;
Growing Swine;Default;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Default;Latin America and the Caribbean;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Growing Swine;Default;Western Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Default;Eastern Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Default;Russian Federation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Default;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Growing Swine;Default;NENA/Middle East;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Growing Swine;Default;South Asia;5;30;15;15;5;5;5;0;15;5;0;0;0;0;
Other Sheep;High-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;High-Productivity;East Asia and South-East Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;High-Productivity;North America;0;0;54;0;46;0;0;0;0;0;0;0;0;0;
Other Sheep;High-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;High-Productivity;Western Europe;0;0;13;0;87;0;0;0;0;0;0;0;0;0;
Other Sheep;High-Productivity;Eastern Europe;0;0;54;0;46;0;0;0;0;0;0;0;0;0;
Other Sheep;High-Productivity;Russian Federation;0;0;54;0;46;0;0;0;0;0;0;0;0;0;
Other Sheep;High-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Other Sheep;High-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Other Sheep;High-Productivity;South Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;East Asia and South-East Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;North America;0;0;54;0;46;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;Western Europe;0;0;13;0;87;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;Eastern Europe;0;0;54;0;46;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;Russian Federation;0;0;54;0;46;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Other Sheep;Low-Productivity;South Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;East Asia and South-East Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;North America;0;0;54;0;46;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;Western Europe;0;0;13;0;87;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;Eastern Europe;0;0;54;0;46;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;Russian Federation;0;0;54;0;46;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Other Sheep;Default;South Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;East Asia and South-East Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;Western Europe;0;0;21;0;78;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;Eastern Europe;0;0;42;0;58;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;Russian Federation;0;0;42;0;58;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Dairy Sheep;High-Productivity;South Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;East Asia and South-East Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;Western Europe;0;0;21;0;78;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;Eastern Europe;0;0;42;0;58;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;Russian Federation;0;0;42;0;58;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Low-Productivity;South Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;East Asia and South-East Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;North America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;Western Europe;0;0;21;0;78;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;Eastern Europe;0;0;42;0;58;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;Russian Federation;0;0;42;0;58;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;Oceania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Dairy Sheep;Default;South Asia;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Goat;High-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Goat;Low-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Goat;Default;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Goat;Default;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Goat;Default;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Goat;Default;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Goat;Default;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Goat;Default;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Goat;Default;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Goat;Default;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Goat;Default;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Goat;Default;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Chicken Layer;High-Productivity;Sub-Saharan Africa;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
Chicken Layer;High-Productivity;East Asia and South-East Asia;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
